Name,Year,Search_URL
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Tim Cook,2015,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Tim Cook,2016,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Tim Cook,2016,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Steve Ballmer,2010,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2010"
Steve Ballmer,2011,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2011,cd_max:12/31/2011"
Steve Ballmer,2012,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2012,cd_max:12/31/2012"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2013,cd_max:12/31/2013"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2014,cd_max:12/31/2014"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
