Ticker,CEO,Year,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral
NVDA,Jensen Huang,2018,46,Man,asian,angry,0.12272175,99.87728,90.59393,3.2334168,0.1341108,3.175832,0.072042756,2.7906663,61.38312,0.11887354,12.016292,0.3576565,10.690183,0.40388483,15.02998
NVDA,Jensen Huang,2019,40,Man,asian,angry,0.68793684,99.31206,69.71279,7.8594832,1.6527237,10.097078,4.1542807,6.523635,80.862785,0.7469411,8.384165,0.0029270921,0.025684366,9.975569,0.0019303954
AVGO,Scott A. McGregor,2011,39,Man,white,fear,2.8851268,97.114876,1.5503514,0.10361583,0.041158296,93.92942,2.5664575,1.808994,0.37611175,1.2401067e-07,84.08435,6.158874e-05,15.249376,6.231864e-05,0.29004312
AVGO,Scott A. McGregor,2012,49,Man,asian,happy,0.316918,99.683075,77.9933,0.9000371,1.6252309,15.511129,0.7632025,3.2070966,0.000688472,2.278847e-06,0.00954065,98.70389,0.013295036,0.0082644485,1.26431
AVGO,Scott A. McGregor,2013,44,Man,asian,angry,49.402157,50.59784,27.130632,12.770545,13.568548,14.959603,14.050434,17.520245,82.0061,0.0014998533,0.04724537,1.9684399,2.8249836,2.6367085,10.515027
AVGO,Scott A. McGregor,2015,39,Man,white,surprise,1.0706972,98.9293,0.0022169387,2.1703963e-05,3.498657e-07,99.96754,0.017782379,0.012444304,0.011837967,3.817445e-06,0.23601034,0.0006783256,0.0012592097,99.75016,3.9472816e-05
AVGO,Hock Tan,2016,45,Man,asian,neutral,0.13096027,99.86904,89.6459,3.8323662,0.92628515,1.2163689,0.10438975,4.274691,7.67904,1.1570632,2.1425717,4.4184446,35.951622,1.1157489,47.53551
AVGO,Hock Tan,2017,46,Man,asian,neutral,0.22131325,99.77869,72.67662,7.183968,2.9527767,4.420487,0.9475519,11.818592,0.24717173,0.0009963694,0.8594735,12.406513,2.336892,1.3985894,82.75036
AVGO,Hock Tan,2018,50,Man,asian,happy,0.10289341,99.89711,94.682076,2.8962097,0.2273914,0.1321172,0.002454083,2.0597548,0.0020205828,4.0477777e-09,3.1373015e-06,99.982765,0.0006328856,0.00032310394,0.014256295
AVGO,Hock Tan,2019,43,Man,asian,sad,0.0922592,99.907745,88.33344,4.7986674,1.0213974,0.96794236,0.08098174,4.797569,11.46128,0.71968234,3.199388,11.411751,59.82683,4.3936014,8.987466
ADBE,Shantanu Narayen,2010,29,Man,latino hispanic,happy,0.018458698,99.98154,10.278209,15.644682,9.312906,18.30002,16.801365,29.66282,2.1416953e-13,3.173412e-24,1.4216438e-16,99.99896,9.441115e-10,1.4855322e-11,0.0010381644
ADBE,Shantanu Narayen,2011,39,Man,asian,neutral,0.00037914523,99.99962,25.000977,13.536148,9.686376,14.697531,14.267984,22.810987,18.201693,3.2542697e-08,0.010641984,0.009915957,1.3726481,0.0001579844,80.40495
ADBE,Shantanu Narayen,2012,38,Man,black,sad,0.62729067,99.37271,20.606318,17.179035,22.868681,10.305519,9.039112,20.001339,32.75733,0.00033168888,7.462835,0.0033681088,49.02622,0.00046078424,10.749458
ADBE,Shantanu Narayen,2013,24,Man,middle eastern,happy,0.018659972,99.98134,0.40858668,10.568089,0.868423,15.43037,64.793465,7.9310656,4.264201e-10,1.9246767e-23,3.8097144e-16,99.881516,8.312772e-09,6.983835e-10,0.11848385
ADBE,Shantanu Narayen,2014,46,Man,middle eastern,neutral,0.04412981,99.955864,4.5190396,27.324253,6.6391325,10.18306,28.464243,22.870274,13.426053,8.34128e-11,0.012695281,3.8962928e-05,4.091077,1.1367675e-06,82.47014
ADBE,Shantanu Narayen,2015,43,Man,middle eastern,angry,0.24691184,99.75309,9.372796,20.734995,7.290857,17.660383,28.232815,16.708162,74.13225,0.001980578,1.7266749,0.38011327,10.878821,0.21025948,12.669908
